                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.88702,                0.51621,                0.90272,                0.83945,                0.72541,                0.79382,                  0.554,                 0.8116,                0.43777,                0.90519,               0.003763,               0.003763,               0.003763
                     65,                 0.8837,                0.51421,                0.90042,                0.84117,                0.72648,                0.79589,                0.55483,                0.81011,                0.43782,                0.90536,               0.003664,               0.003664,               0.003664
                     66,                0.88132,                0.51175,                0.90267,                0.84231,                0.73408,                0.79279,                0.55997,                 0.8032,                0.43187,                 0.9028,               0.003565,               0.003565,               0.003565
                     67,                0.88027,                  0.513,                0.90128,                 0.8484,                0.73267,                0.79937,                0.56258,                0.80131,                0.43375,                0.90217,               0.003466,               0.003466,               0.003466
                     68,                0.86744,                0.50071,                0.89615,                0.81759,                0.74697,                0.79673,                0.56233,                0.79816,                0.42595,                0.90311,               0.003367,               0.003367,               0.003367
                     69,                0.86783,                0.50031,                0.89528,                0.85829,                0.73257,                0.80303,                0.56926,                0.79431,                0.42597,                0.90416,               0.003268,               0.003268,               0.003268
                     70,                0.86034,                0.50043,                 0.8964,                0.85145,                0.73183,                0.80202,                0.57155,                0.79072,                 0.4249,                0.90145,               0.003169,               0.003169,               0.003169
                     71,                0.85149,                0.48936,                0.88918,                0.80274,                0.75608,                0.80156,                0.56925,                0.78404,                0.41907,                0.89783,                0.00307,                0.00307,                0.00307
                     72,                0.85063,                0.48852,                0.89272,                0.84323,                0.74482,                0.80321,                0.57628,                0.78102,                0.41774,                0.89836,               0.002971,               0.002971,               0.002971
                     73,                 0.8431,                0.48698,                0.89017,                0.82588,                 0.7433,                0.80144,                0.57295,                0.78416,                0.42176,                0.89876,               0.002872,               0.002872,               0.002872
                     74,                0.83679,                 0.4813,                0.88611,                0.83857,                0.75263,                0.80751,                0.57875,                0.78236,                0.41916,                0.89978,               0.002773,               0.002773,               0.002773
                     75,                0.83454,                0.47687,                0.88869,                0.81962,                0.75617,                0.80486,                0.57531,                0.77806,                0.41597,                 0.8971,               0.002674,               0.002674,               0.002674
                     76,                0.82678,                0.47576,                0.88772,                0.83477,                0.75593,                0.80815,                0.58073,                0.77525,                0.41508,                0.89815,               0.002575,               0.002575,               0.002575
                     77,                0.82345,                0.47133,                0.88446,                0.85085,                0.76034,                0.81037,                0.58292,                0.77563,                 0.4137,                0.89714,               0.002476,               0.002476,               0.002476
                     78,                0.82078,                0.46896,                0.88368,                0.85461,                0.75814,                0.81201,                0.58176,                0.76994,                0.41285,                0.89661,               0.002377,               0.002377,               0.002377
                     79,                0.82126,                0.46963,                0.88439,                0.84581,                0.75465,                0.81093,                0.58395,                0.77186,                0.41113,                0.89849,               0.002278,               0.002278,               0.002278
                     80,                 0.8063,                0.45864,                0.87796,                0.86152,                0.75202,                0.81452,                0.58438,                0.76487,                 0.4089,                0.89638,               0.002179,               0.002179,               0.002179
                     81,                 0.8005,                0.45764,                0.87935,                0.87993,                0.74083,                0.80885,                0.58682,                0.76344,                0.40716,                0.89541,                0.00208,                0.00208,                0.00208
                     82,                0.81012,                0.46259,                0.88049,                0.86437,                0.75451,                0.80762,                0.58731,                0.75944,                 0.4067,                0.89354,               0.001981,               0.001981,               0.001981
                     83,                0.80077,                0.45551,                0.87636,                0.85186,                0.75283,                0.81067,                0.58769,                0.75807,                0.40589,                0.89264,               0.001882,               0.001882,               0.001882
                     84,                0.78781,                0.44563,                0.87653,                0.87512,                0.74687,                0.81234,                 0.5908,                 0.7544,                0.40615,                0.89246,               0.001783,               0.001783,               0.001783
                     85,                0.78901,                0.45017,                0.87483,                0.85413,                0.76266,                0.81905,                0.59074,                0.74934,                0.40435,                0.89163,               0.001684,               0.001684,               0.001684
                     86,                0.78466,                0.45012,                0.87662,                0.87568,                0.75441,                0.81838,                0.59379,                0.75176,                0.39991,                0.89049,               0.001585,               0.001585,               0.001585
                     87,                0.77931,                0.44495,                0.87321,                 0.8627,                0.75877,                 0.8213,                0.59635,                  0.749,                0.40004,                0.88944,               0.001486,               0.001486,               0.001486
                     88,                0.77474,                0.43757,                 0.8691,                0.87978,                0.74672,                0.81982,                0.59986,                0.74432,                0.39781,                0.88908,               0.001387,               0.001387,               0.001387
                     89,                0.76748,                0.43656,                 0.8716,                0.88973,                0.74014,                0.82226,                 0.6008,                0.74287,                0.39694,                0.88785,               0.001288,               0.001288,               0.001288
                     90,                0.72271,                0.38966,                0.85428,                0.86482,                0.74856,                0.82008,                0.59876,                0.73151,                0.39823,                 0.8878,               0.001189,               0.001189,               0.001189
                     91,                 0.7033,                0.38329,                 0.8544,                0.86277,                0.75905,                0.82121,                0.60243,                0.73143,                0.39829,                0.88836,                0.00109,                0.00109,                0.00109
                     92,                0.69178,                0.37826,                0.84769,                0.86472,                0.76486,                0.82304,                 0.6016,                0.73064,                0.39491,                0.88822,               0.000991,               0.000991,               0.000991
                     93,                0.69197,                0.38073,                0.84797,                0.86585,                0.75758,                0.82055,                0.60322,                0.72849,                0.39685,                0.88858,               0.000892,               0.000892,               0.000892
                     94,                0.68041,                0.37214,                0.84773,                0.85951,                0.76673,                0.82077,                0.60181,                0.72682,                0.39652,                 0.8882,               0.000793,               0.000793,               0.000793
                     95,                0.67869,                 0.3697,                 0.8439,                0.87855,                0.75628,                0.82086,                0.60523,                 0.7251,                0.39456,                0.88755,               0.000694,               0.000694,               0.000694
                     96,                0.67222,                0.36574,                0.84557,                0.88087,                0.75521,                0.82231,                0.60711,                0.71967,                0.39391,                0.88585,               0.000595,               0.000595,               0.000595
                     97,                0.66455,                 0.3631,                0.84388,                0.85733,                 0.7658,                0.82247,                0.60749,                0.71849,                0.39215,                0.88659,               0.000496,               0.000496,               0.000496
                     98,                0.65851,                 0.3616,                0.84092,                0.86904,                0.76557,                0.82378,                0.60822,                  0.717,                0.38975,                0.88638,               0.000397,               0.000397,               0.000397
                     99,                0.64801,                0.35482,                0.83922,                0.86748,                0.76511,                0.82548,                0.60945,                0.71617,                 0.3907,                0.88615,               0.000298,               0.000298,               0.000298
